source,text,label
trt,Kurtulmuş: Terörsüz Türkiye sürecinin yaz bitmeden tamamlanacağını ümit ediyorum,non-sarcastic
trt,İletişim Başkanı Altun'dan Büyükelçi Şen için taziye mesajı,non-sarcastic
trt,"Bakan Fidan, Sırbistan Dışişleri Bakanı Curiç ile görüştü",non-sarcastic
trt,"TBMM Başkanı Kurtulmuş, Şırnak Gabar Dağı'ndaki petrol akışını izledi",non-sarcastic
trt,Türkiye'nin Malta Büyükelçisi Erdeniz Şen hayatını kaybetti,non-sarcastic
trt,Atatürk'ü temsil eden bayrak Samsun'da karaya çıkarıldı,non-sarcastic
trt,"Numan Kurtulmuş: Birliği, beraberliği, kardeşliği tesis edeceğiz",non-sarcastic
trt,"Ticaret Bakanı Bolat, genç girişimcilerle bir araya geldi",non-sarcastic
trt,Bakan Bayraktar: Enerjide bağımsızlık yürüyüşünü Gabar'da başlattık,non-sarcastic
trt,AK Parti Sözcüsü Çelik: Türkiye Yüzyılı'nın 19 Mayıs'larına aynı inançla yürüyoruz,non-sarcastic
trt,Sağlık Bakanlığı 'annelik' yolculuğunu dijital platforma taşıdı,non-sarcastic
trt,Cumhurbaşkanı Yardımcısı Yılmaz'dan 19 Mayıs mesajı,non-sarcastic
trt,19 Mayıs coşkuyla kutlanıyor,non-sarcastic
trt,Türkiye'de bir ilk: Asfaltta Türk Marşı yankılanacak,non-sarcastic
trt,Gençlik ve Spor Bakanı Osman Aşkın Bak Anıtkabir'i ziyaret etti,non-sarcastic
trt,"MİT Başkanı Kalın: Türkiye Yüzyılı, milletimizin geleceğine yön verecek olan sizlerin omuzlarında yükselecek",non-sarcastic
trt,Türkiye-ABD Suriye Çalışma Grubu toplantısı ABD'de düzenlenecek,non-sarcastic
trt,Fahrettin Altun'dan 19 Mayıs mesajı,non-sarcastic
trt,TBMM Başkanı Kurtulmuş'tan 19 Mayıs mesajı,non-sarcastic
trt,"Emine Erdoğan, 19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramı'nı kutladı",non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan 19 Mayıs mesajı,non-sarcastic
trt,TBMM'de HSK ve RTÜK'e üye seçilecek,non-sarcastic
trt,"Ege Denizi'nde 4,6 büyüklüğünde deprem",non-sarcastic
trt,Gazze'ye yardım götürürken saldırıya uğrayan gemideki 5 Türk vatandaşı daha ülkeye döndü,non-sarcastic
trt,Türkiye'den İsrail'in Gazze'deki saldırılarını genişletmesine tepki,non-sarcastic
trt,İBB'ye yönelik yolsuzluk soruşturmasında Zafer Keleş gözaltına alındı,non-sarcastic
trt,Mustafa Kemal Atatürk'ten gençliğe armağan: 19 Mayıs,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Galatasaray'ı tebrik etti",non-sarcastic
trt,Sivasspor Süper Lig'de küme düşen üçüncü takım oldu,non-sarcastic
trt,Süper Lig'de şampiyon Galatasaray,non-sarcastic
trt,MHP Genel Başkanı Bahçeli: PKK'nın fesih kararını ilan etmesiyle yeni bir aşamaya geçilmiştir,non-sarcastic
trt,İBB'deki yolsuzluk soruşturmasında itirafçı Yıldız ve ailesini tehdit iddiasına soruşturma,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Müzeler Günü paylaşımı,non-sarcastic
trt,Fenerbahçe olağanüstü genel kurula gidiyor,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Kırımlı kardeşlerimizin haklarını savunmaya devam edeceğiz,non-sarcastic
trt,Bakan Fidan'dan Riyad'a üst düzey ziyaret,non-sarcastic
trt,"Bakan Fidan, yarın Sırbistan'a resmi ziyarette bulunacak",non-sarcastic
trt,Dışişleri'nden Kırım Tatar ve Çerkes Sürgünlerine ilişkin açıklama,non-sarcastic
trt,TBMM'den zirai dona karşı 'öneri paketi',non-sarcastic
trt,Kurban Bayramı tatili 9 gün olacak mı?,non-sarcastic
trt,SGK'nin geri ödeme listesine 95 ilaç daha alındı,non-sarcastic
trt,Türk Dünyası ticaretten sanayiye iş birliği imkanlarını konuşacak,non-sarcastic
trt,Ambulansa yol vermeyen düğün konvoyuna ceza yağdı,non-sarcastic
trt,TBMM'nin gündeminde bu hafta neler var?,non-sarcastic
trt,"Ege Denizi'nde 4,1 büyüklüğünde deprem",non-sarcastic
trt,"Altun, Suriye Enformasyon Bakanı Mustafa ile telefonda görüştü",non-sarcastic
trt,"Dışişleri Bakanı Fidan, İranlı mevkidaşı Erakçi ile görüştü",non-sarcastic
trt,"İletişim Başkanı Altun: Türk Günü Yürüyüşü birlik, beraberlik ve dostluğun somut bir nişanesi",non-sarcastic
trt,"Bakan Kurum: Tek bir afetzede kardeşimizi açta, açıkta bırakmayacağız",non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, açılışını yaptığı hastanede hastaları ziyaret etti",non-sarcastic
trt,Deniz Kuvvetleri Komutanlığına bağlı 29 gemi 19 Mayıs'ta ziyarete açılacak,non-sarcastic
trt,Bakan Tunç: Sorumlular hak ettikleri cezayı alacak,non-sarcastic
trt,"Bakan Bayraktar: Karadeniz'deki yeni doğal gaz keşfi tüm hanelere 3,5 yıl yetecek düzeyde",non-sarcastic
trt,Kartalkaya'daki otel yangınında istenen cezalar belli oldu,non-sarcastic
trt,"Bakan Fidan, Suudi Arabistan'ı ziyaret edecek",non-sarcastic
trt,"Bakan Memişoğlu: Türkiye, dünyanın en gelişmiş sağlık altyapısına sahip ülkelerinden biri",non-sarcastic
trt,"İletişim Başkanı Altun: Ülkemiz, barışı ve güvenliği önceleyen bir diplomasi anlayışıyla hareket ediyor",non-sarcastic
trt,İstanbul'daki Türkiye'nin barış diplomasisi dünya gündeminde,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Kazakistan Cumhurbaşkanı Tokayev ile görüştü",non-sarcastic
trt,Kayalıklardan düşen genci sahil güvenlik ekipleri kurtardı,non-sarcastic
trt,Avrupa'nın en büyük fizik tedavi hastanesi açıldı,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: 75 milyar metreküplük yeni doğal gaz keşfi yaptık,non-sarcastic
